"
Calendário",,,,,,,1/1 completed  
,,,,,,,
✓,Data,Time(min),Materia,Assunto,Tarefa,Material,Descr
TRUE,8/1/2019 9:00:05,25,Informática,"Segurança da Informação - Malwares, Antimalwares, Ataques, Golpes",Leitura,Trilha Estratégica 17; Aula 06 (Basico Fiscais),
TRUE,8/1/2019 9:41:56,25,Direito Administrativo,Licitação Pública,Revisão,Aula 07 (Auditor RFB),
TRUE,8/1/2019 11:20:28,21,Direito Constitucional,Reforma da Constituição,Revisão,Aula 12 (Auditor RFB),
TRUE,8/1/2019 11:53:42,27,Contabilidade,Escrituração de operações típicas,Questões,Aula 08 (SEFAZ-SP),
TRUE,8/1/2019 15:15:09,30,Matemática Financeira,Sistemas de Amortização,Questões,Aula 30 (Auditor RFB),
TRUE,8/1/2019 15:54:05,25,Contabilidade Geral,DLA e DMPL,Leitura,Trilha Estratégica 11; Aula 10,
TRUE,8/1/2019 16:45:04,25,Contabilidade Geral,DLA e DMPL,Leitura,Trilha Estratégica 11; Aula 10,
TRUE,8/1/2019 17:18:05,25,,,Memo,,
TRUE,8/1/2019 17:52:50,25,Contabilidade,Demonstração do Resultado do Exercício,Revisão,Aula 09 (SEFAZ-SP),
TRUE,8/2/2019 8:51:56,25,Informática,Segurança da Informação,Revisão,Aula 05 (Básico Fiscais),
TRUE,8/2/2019 9:23:51,25,Direito Tributário,Extinção do Crédito Tributário,Leitura,Trilha Estratégica 08; Aula 11,
TRUE,8/2/2019 9:50:29,25,Direito Tributário,Extinção do Crédito Tributário,Questões comentadas (até 05),Trilha Estratégica 08; Aula 11,
TRUE,8/2/2019 10:58:24,25,Contabilidade,"Demonstrações contábeis, BP",Questões,Aula 03 (SEFAZ-SP),
TRUE,8/2/2019 11:29:10,25,Contabilidade,Principais lançamentos contábeis,Questões,Aula 02 (SEFAZ-SP),
TRUE,8/2/2019 11:46:41,11,Matemática,Teoria dos Conjuntos,Revisão,Aula 00 (Auditor RFB),
TRUE,8/2/2019 12:02:06,13,Matemática Financeira,Análise de Investimentos,Revisão,Aula 30 II (Auditor RFB),
TRUE,8/2/2019 12:43:56,25,Direito Constitucional,Poder Executivo,Questões comentadas (até 22),Trilha Estratégica 08; Aula 07,
TRUE,8/2/2019 15:39:04,25,Direito Constitucional,Poder Executivo,Questões comentadas (até 37),Trilha Estratégica 08; Aula 07,
TRUE,8/2/2019 19:11:41,25,Direito Constitucional,Poder Executivo,Questões comentadas (até 55),Trilha Estratégica 08; Aula 07,
TRUE,8/3/2019 10:31:53,25,Contabilidade,Demonstração do Resultado do Exercício,Questões,Aula 09 (SEFAZ-SP),
TRUE,8/3/2019 11:18:42,25,Contabilidade,Ativo Imobilizado,Questões,Aula 07 (SEFAZ-SP),
TRUE,8/3/2019 12:03:01,26,Contabilidade,Critérios de Avaliação do Ativo e Passivo,Questões,Aula 06 (SEFAZ-SP),
TRUE,8/3/2019 12:28:30,20,Matemática Financeira,Sistemas de Amortização,Revisão,Aula 30 (Auditor RFB),
TRUE,8/3/2019 15:19:37,25,Direito Administrativo,Entidades Paraestatais e o Terceiro Setor,Revisão,Aula 04 (Auditor RFB),
TRUE,8/3/2019 16:46:50,26,Direito Administrativo,Serviços Públicos e Regulação Estatal,Questões comentadas (até 06),Trilha Estratégica 06; Aula 09 (Auditor RFB),
TRUE,8/3/2019 17:22:47,25,Direito Administrativo,Serviços Públicos e Regulação Estatal,Questões comentadas (até 14),Trilha Estratégica 06; Aula 09 (Auditor RFB),
TRUE,8/3/2019 17:58:22,26,Direito Administrativo,Serviços Públicos e Regulação Estatal,Questões comentadas (até 22),Trilha Estratégica 06; Aula 09 (Auditor RFB),
TRUE,8/4/2019 10:12:58,26,Matemática,Teoria dos Conjuntos,Questões,Aula 00 (Auditor RFB),
TRUE,8/4/2019 10:47:20,25,Direito Constitucional,Processo Legislativo,Questões,Aula 10 (Auditor RFB),
TRUE,8/4/2019 11:30:26,25,Contabilidade,Passivo; Dividendos; Aumento de Capital; Custo das Transações; Notas Explicativas,Revisão,Aula 04 (SEFAZ-SP),
TRUE,8/4/2019 12:12:45,25,Contabilidade,Critérios de Avaliação do Ativo e Passivo,Revisão,Aula 05 (SEFAZ-SP),
TRUE,8/4/2019 16:47:04,25,Contabilidade Geral,DLA e DMPL,Leitura,Trilha Estratégica 11; Aula 10,
TRUE,8/4/2019 17:17:27,25,Contabilidade Geral,DLA e DMPL,Leitura,Trilha Estratégica 11; Aula 10,Tarefa finalizada
TRUE,8/5/2019 8:18:35,25,Contabilidade Geral,DVA,Leitura,Trilha Estratégica 13; Aula 11,
TRUE,8/5/2019 9:05:00,30,Matemática Financeira,Equivalência de Capitais. Rendas Uniformes - Anuidades,Questões,Aula 29 (Auditor RFB),
TRUE,8/5/2019 9:34:52,25,Matemática Financeira,Análise de Investimentos,Questões,Aula 30 II (Auditor RFB),
TRUE,8/5/2019 10:17:07,25,Direito Tributário,Extinção do Crédito Tributário,Questões comentadas (até 15),Trilha Estratégica 08; Aula 11,
TRUE,8/5/2019 10:57:03,25,Direito Tributário,Extinção do Crédito Tributário,Questões comentadas (até 21),Trilha Estratégica 08; Aula 11,
TRUE,8/5/2019 12:21:14,25,Contabilidade,"Critérios de Avaliação do Ativo não circulante (até Imobilizado, incluso)",Revisão,Aula 06 (SEFAZ-SP),
TRUE,8/5/2019 13:02:09,25,Direito Constitucional,Administração Pública,Revisão,Aula 06 (Auditor RFB),
TRUE,8/5/2019 15:05:23,25,Auditoria,,Questões TEC,,
TRUE,8/5/2019 15:46:51,25,Direito Constitucional,,Questões TEC,,
TRUE,8/5/2019 16:38:30,25,Auditoria,"Fraude e Erro, Risco de Auditoria, Relevância e Materialidade",Video Aula,Trilha Estratégica 12; Aula 04,
