"
Calendário",,,,,,,1/1 completed  
,,,,,,,
✓,Data,Time(min),Materia,Assunto,Tarefa,Material,Descr
TRUE,5/1/2019 8:23:03,25,Português,Regência Verbal e Nominal,Questões comentadas (até 14),Aula 06; Trilha Estratégica 06;,
TRUE,5/1/2019 9:08:11,25,Português,Regência Verbal e Nominal,Questões comentadas (até 32),Aula 06; Trilha Estratégica 06;,
TRUE,5/1/2019 10:15:55,25,Matemática Financeira,Descontos simples,Revisão,Aula 27,
TRUE,5/1/2019 10:50:10,25,Direito Administrativo,"EP, SEM, FP",Revisão,Aula 03,
TRUE,5/1/2019 11:17:37,25,,,Questões TEC,,
TRUE,5/1/2019 11:50:41,25,,,Questões TEC,,
TRUE,5/1/2019 12:30:42,25,Contabilidade Geral,Critérios de Avaliação do Ativo e Passivo; Balanço Patrimonial,Leitura; Questões comentadas (partir de 15),Trilha Estratégica 03; Aula 03,
TRUE,5/1/2019 13:59:21,28,Contabilidade Geral,Critérios de Avaliação do Ativo e Passivo; Balanço Patrimonial,Leitura; Questões comentadas,Trilha Estratégica 03; Aula 03,Aula finalizada
TRUE,5/1/2019 14:57:37,28,Contabilidade Geral,,Simulado,Trilha Estratégica 04; Passo Estratégico 02,
TRUE,5/1/2019 15:35:11,25,Direito Administrativo,Poderes Administrativos,Questões comentadas (até 19),Trilha Estratégica 02; Aula 05 (RFB Auditor),
TRUE,5/1/2019 16:13:50,26,,,Memo,,
TRUE,5/1/2019 16:44:09,25,Direito Administrativo,Poderes Administrativos,Questões comentadas (até 25),Trilha Estratégica 02; Aula 05 (RFB Auditor),
TRUE,5/1/2019 17:20:40,25,Direito Administrativo,Poderes Administrativos,Questões comentadas (até 32),Trilha Estratégica 02; Aula 05 (RFB Auditor),
TRUE,5/2/2019 8:25:21,25,Direito Constitucional,Direitos Sociais e Nacionalidade,Revisão,Aula 03,
TRUE,5/2/2019 8:56:19,25,Direito Tributário,Competência Tributária,Revisão,Aula 03,
TRUE,5/2/2019 11:02:30,25,,,Questões TEC,,
TRUE,5/2/2019 11:31:53,25,,,Questões TEC,,
TRUE,5/2/2019 12:03:21,25,Direito Administrativo,Poderes Administrativos,Questões comentadas (até 38),Trilha Estratégica 02; Aula 05 (RFB Auditor),
TRUE,5/2/2019 15:17:08,25,Direito Administrativo,Poderes Administrativos,Questões comentadas (até 52),Trilha Estratégica 02; Aula 05 (RFB Auditor),
TRUE,5/2/2019 15:59:17,25,Português,Regência Verbal e Nominal,Questões comentadas; Questões TEC,Aula 06; Trilha Estratégica 06;,
TRUE,5/2/2019 16:48:44,25,Português,Emprego das classes de palavras,Questões comentadas (até 13),Trilha Estratégica 07; Aula 07,
TRUE,5/2/2019 17:29:45,25,Direito Constitucional,Organização Administrativa,Leitura,Trilha Estratégica 03; Aula 05,
TRUE,5/2/2019 18:00:49,25,Direito Constitucional,Organização Administrativa,Leitura,Trilha Estratégica 03; Aula 05,
TRUE,5/2/2019 19:52:31,25,,,Memo,,
TRUE,5/2/2019 21:01:59,25,Contabilidade Geral,Critérios de Avaliação do Ativo e Passivo; Balanço Patrimonial,Revisão,Aula 03 (SEFAZ-SP),
TRUE,5/3/2019 8:18:34,25,Direito Administrativo,Poderes Administrativos (Poder de Polícia smnt); Uso e Abuso de Poder,Revisão,Aula 05 (Auditor RFB),
TRUE,5/3/2019 9:15:43,25,,,Questões TEC,,
TRUE,5/3/2019 9:44:06,25,,,Questões TEC,,
TRUE,5/3/2019 11:23:03,25,Contabilidade Geral,Critérios de Avaliação do Passivo; Balanço Patrimonial,Leitura,Trilha Estratégica 04; Aula 04,
TRUE,5/3/2019 11:39:20,10,,,Memo,,
TRUE,5/3/2019 15:48:46,25,Contabilidade Geral,Critérios de Avaliação do Passivo; Balanço Patrimonial,Leitura,Trilha Estratégica 04; Aula 04,
TRUE,5/3/2019 16:25:49,27,Direito Administrativo,Poderes Administrativos,Questões comentadas,Trilha Estratégica 02; Aula 05 (RFB Auditor),Aula finalizada
TRUE,5/3/2019 17:13:48,28,Direito Administrativo,Atos Administrativos,Leitura,Trilha Estratégica 03; Aula 06 (RFB Auditor),
TRUE,5/4/2019 13:45:46,85,Raciocínio Lógico / Matemática Financeira,,Simulado,Trilha Estratégica 04,Simulado em: https://drive.google.com/open?id=1qTpkXlDLGPrayPXAou5TJh4KZ7N2t7WW ; Resultado: 26/28
TRUE,5/4/2019 14:48:47,25,Direito Tributário,ICMS,Revisão,Aula 04,
TRUE,5/4/2019 16:50:18,25,Contabilidade Geral,Principais lançamentos contábeis,Revisão,Aula 02,
TRUE,5/4/2019 17:12:52,19,,,Memo,,
TRUE,5/4/2019 18:49:30,25,,,Questões TEC,,
TRUE,5/4/2019 19:14:41,25,,,Questões TEC,,
TRUE,5/5/2019 10:06:17,25,Direito Tributário,Impostos de Competência dos Municípios e Contribuições Sociais,Leitura,Trilha Estratégica 02; Aula 05,
TRUE,5/5/2019 10:36:14,25,Direito Tributário,Impostos de Competência dos Municípios e Contribuições Sociais,Leitura,Trilha Estratégica 02; Aula 05,
TRUE,5/5/2019 11:15:18,25,Matemática Financeira,Juros Compostos e Taxas de Juros; Descontos Compostos,Leitura,Trilha Estratégica 04; Aula 28,
TRUE,5/5/2019 11:49:01,25,Matemática Financeira,Juros Compostos e Taxas de Juros; Descontos Compostos,Leitura,Trilha Estratégica 04; Aula 28,
TRUE,5/5/2019 12:17:13,25,,,Memo,,
TRUE,5/5/2019 15:25:08,25,Direito Administrativo,Atos Administrativos,Leitura,Trilha Estratégica 03; Aula 06 (RFB Auditor),
TRUE,5/5/2019 15:54:14,25,Direito Administrativo,Atos Administrativos,Leitura,Trilha Estratégica 03; Aula 06 (RFB Auditor),
TRUE,5/5/2019 16:58:29,26,Direito Tributário,Limitações constitucionais ao poder de tributar: Princípios Constitucionais Tributários,Revisão,Aula 01,
