"
Calendário",,,,,,,1/1 completed  
,,,,,,,
✓,Data,Time(min),Materia,Assunto,Tarefa,Material,Descr
TRUE,01/07/2020 08:44:37,25,Matemática Financeira,Equivalência de Capitais. Rendas Uniformes - Anuidades,Revisão,Aula 29 (Auditor RFB),
TRUE,01/07/2020 09:36:28,30,Direito Civil,Pessoa jurídica,Revisão,Aula 02 (RFB20),
TRUE,01/07/2020 10:15:30,30,Economia,Balanço de pagamentos,Revisão,Aula 09 (TCDF),
TRUE,01/07/2020 12:21:23,32,Auditoria Governamental,"COSO - Governança corporativa, Controle e Análise de Risco",Revisão,PE 11 (TCDF),
TRUE,01/07/2020 15:49:36,30,Contabilidade Pública,Balanço Patrimonial,Revisão,Aula 09 | PE 16 (TCDF),
TRUE,02/07/2020 09:24:44,45,Administração Financeira e Orçamentária,LRF pt4,Revisão,Aula 15 | PE 20 (TCDF),
TRUE,02/07/2020 18:00:00,25,Contabilidade Pública,DVP,Revisão,Aula 10 | PE 16 (TCDF),
TRUE,03/07/2020 11:37:27,39,Auditoria Governamental,Auditoria interna e externa: Conceitos iniciais,Revisão,Aula 06 (TCDF),
TRUE,03/07/2020 15:18:30,30,Direito Penal,"Teoria do Crime: Culpabilidade, Imputabilidade",Revisão,Aula 02 | PE 02 (TCDF),
TRUE,03/07/2020 15:55:31,25,Direito Administrativo,Lei 8.666 Licitação Pública,Lei Seca,,
TRUE,03/07/2020 17:09:10,25,Auditoria Governamental,Amostragem em auditoria. Supervisão e controle de qualidade,Questões,Aula 09 | PE 15 (TCDF) ,
TRUE,03/07/2020 17:30:41,10,Auditoria Governamental,"Materialidade, relevância, risco. Exame e avaliação do controle interno",Questões,Aula 10 (TCDF),
TRUE,04/07/2020 09:44:55,51,Contabilidade Geral e Análise de Demonstrações Contábeis,Patrimônio Líquido,Questões,Aula 11 (TCDF),
TRUE,04/07/2020 11:28:04,25,Geral,G1D1,Questões,TEC,
TRUE,04/07/2020 17:43:54,42,Controle Externo,Membros do TCU; Organização do TCDF,Revisão,Aula 04 pt1 (TCDF) | PE 04 (TCDF),
TRUE,05/07/2020 09:00:19,32,Economia,Teoria Keynesiana: modelo generalizado IS-LM,Revisão,Aula 11 (TCDF) | PE 10 (TCDF),
TRUE,05/07/2020 09:42:51,30,Contabilidade Pública,Balanço Financeiro,Revisão,Aula 08 | PE 15 (TCDF),
TRUE,05/07/2020 10:20:09,25,Contabilidade Pública,DVP,Revisão,Aula 10 | PE 16 (TCDF),
TRUE,05/07/2020 11:10:18,37,Direito Constitucional,Direitos Políticos; Partidos Políticos,Revisão,Aula 04 (TCDF),
TRUE,05/07/2020 13:02:06,13,Auditoria Fiscal,Procedimentos em Auditoria,Revisão,PE 11 (SEFAZ-DF),
TRUE,05/07/2020 16:34:55,25,Direito Administrativo,Lei 8.429 (Improbidade Adm),Lei Seca,,
TRUE,05/07/2020 17:55:52,30,Administração Financeira e Orçamentária,LODF - parte orçamentária,Teoria,Aula 16 (TCDF),
TRUE,05/07/2020 18:39:59,30,Administração Financeira e Orçamentária,LODF - parte orçamentária,Teoria,Aula 16 (TCDF),
TRUE,06/07/2020 11:02:00,28,Matemática Financeira,Geral CESPE,Questões,TEC,
TRUE,06/07/2020 11:48:13,25,AFO,Simulado: Orçamento público e Princípios orçamentários,Questões,PE 02 (TCDF),
TRUE,06/07/2020 18:28:57,25,Administração Financeira e Orçamentária,LODF - parte orçamentária,Revisão,Aula 16 (TCDF),
TRUE,07/07/2020 09:20:30,30,Direito Penal,Teoria do Crime: Tipicidade e Ilicitude,Revisão,Aula 01 | PE 01 (TCDF),
TRUE,07/07/2020 12:09:49,37,Administração Financeira e Orçamentária,LRF pt3,Revisão,Aula 14 | PE 19 (TCDF),
TRUE,07/07/2020 16:38:38,30,Controle Externo,"Lei orgânica e Regimento interno: Recursos, cautelares e sanções",Revisão,Aula 07 | PE 06 (TCDF),
TRUE,07/07/2020 17:56:37,30,Direito Tributário,Extinção do Crédito Tributário,Revisão,Aula 11 (RFB20),
TRUE,08/07/2020 11:30:44,45,Auditoria Governamental,"Normas do TCU (NAT), MANOP, Matriz de responsabilidade, Instrumentos de Fiscalização",Revisão,Aula 01 | PE 01 (TCDF),
TRUE,08/07/2020 12:08:53,25,Direito Penal,Aplicação da lei penal,Revisão,Aula 00 | PE 00 (TCDF),
TRUE,08/07/2020 16:08:17,25,Direito Administrativo,Lei 8.112,Lei Seca,,
TRUE,08/07/2020 17:50:37,30,Direito Penal,Punibilidade e extinção da punibilidade,Teoria,Aula 03 (TCDF),
TRUE,09/07/2020 10:32:08,25,Direito Penal,Punibilidade e extinção da punibilidade,Teoria,Aula 03 (TCDF),
TRUE,09/07/2020 11:54:14,40,Contabilidade Pública,Balanço Orçamentário,Revisão,Aula 07 | PE 15 (TCDF),
TRUE,09/07/2020 16:31:24,25,Auditoria Governamental,Simulado,Questões,PE 12 (TCDF),
TRUE,09/07/2020 17:59:06,25,Raciocínio Lógico,Geral CESPE,Questões,TEC,
TRUE,09/07/2020 18:57:56,40,AFOCP,Geral Fácil CESPE,Questões,TEC,
TRUE,10/07/2020 09:31:14,48,Direito Administrativo,Licitação pública,Questões,PE 06 (RFB20),
TRUE,10/07/2020 11:46:44,32,Auditoria,"Materialidade, relevância, risco. Exame e avaliação do controle interno",Revisão,Aula 10 (TCDF),
TRUE,10/07/2020 15:08:28,27,Auditoria,Amostragem em auditoria. Supervisão e controle de qualidade,Revisão,Aula 09 | PE 15 (TCDF) ,
TRUE,10/07/2020 16:03:41,27,Direito Penal,Punibilidade e extinção da punibilidade,Revisão,Aula 03 (TCDF),
TRUE,10/07/2020 16:50:49,35,Direito Civil,Pessoa natural,Revisão,Aula 01 | PE 03 (TCDF,
TRUE,10/07/2020 18:42:55,45,Informática,Navegadores e Webmail,Revisão,Aula 04 (Básicos fiscais),
